relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
15420.0,941.0,30003.0,0.0,29.312,29.312,0.0,1007.1663,0.0,5.0
15480.0,942.0,30524.0,0.0,29.312,29.312,0.0,1007.2655,0.0,5.0
15540.0,943.0,30935.0,0.0,29.375,29.375,0.0,1007.1873,0.0,5.0
15600.0,944.0,31419.0,0.0,29.312,29.312,0.0,1007.2848,0.0,5.0
15660.0,945.0,31790.0,0.0,29.312,29.312,0.0,1007.2103,0.0,5.0
15720.0,946.0,32148.0,0.0,29.375,29.375,0.0,1007.1514,0.0,5.0
15780.0,947.0,32475.0,0.0,29.375,29.375,0.0,1007.3057,0.0,5.0
15840.0,948.0,32774.0,0.0,29.375,29.375,0.0,1007.2776,0.0,5.0
15900.0,949.0,33101.0,0.0,29.312,29.312,0.0,1007.1072,0.0,5.0
15960.0,950.0,33352.0,0.0,29.375,29.375,0.0,1007.1664,0.0,5.0
16020.0,951.0,33356.0,0.0,29.375,29.375,0.0,1007.2298,0.0,5.0
16080.0,952.0,33420.0,0.0,29.375,29.375,0.0,1007.1539,0.0,5.0
16140.0,953.0,33588.0,0.0,29.375,29.375,0.0,1007.3548,0.0,5.0
16200.0,954.0,33600.0,0.0,29.312,29.312,0.0,1007.377,0.0,5.0
16260.0,955.0,33150.0,0.0,29.375,29.375,0.0,1007.3061,0.0,5.0
16320.0,956.0,32474.0,0.0,29.437,29.437,0.0,1007.3204,0.0,5.0
16380.0,957.0,32284.0,0.0,29.437,29.437,0.0,1007.3068,0.0,5.0
16440.0,958.0,32771.0,0.0,29.437,29.437,0.0,1007.4645,0.0,5.0
16500.0,959.0,33612.0,0.0,29.437,29.437,0.0,1007.3214,0.0,5.0
16560.0,960.0,34296.0,0.0,29.437,29.437,0.0,1007.305,0.0,5.0
16620.0,961.0,34606.0,0.0,29.437,29.437,0.0,1007.3732,0.0,5.0
16680.0,962.0,34990.0,0.0,29.5,29.5,0.0,1007.5138,0.0,5.0
16740.0,963.0,35254.0,0.0,29.5,29.5,0.0,1007.4194,0.0,5.0
16800.0,964.0,35215.0,0.0,29.5,29.5,0.0,1007.517,0.0,5.0
16860.0,965.0,34988.0,0.0,29.562,29.562,0.0,1007.4483,0.0,5.0
